nameWithOwner,createdAt,pushedAt,releases_totalCount,primaryLanguage_name,pullRequests_totalCount,closedIssues_totalCount,openIssues_totalCount,stargazers_totalCount
abi/screenshot-to-code,2023-11-14T17:53:32Z,2025-07-27T20:51:24Z,0,Python,49,277,104,70745
redis/redis,2009-03-21T22:32:25Z,2025-08-15T07:15:16Z,95,C,4158,4627,2150,70503
moby/moby,2013-01-18T18:10:57Z,2025-08-18T13:54:45Z,237,Go,21467,19927,3193,70485
pallets/flask,2010-04-06T11:11:59Z,2025-06-12T20:48:14Z,36,Python,1604,2686,6,70189
google-gemini/gemini-cli,2025-04-17T17:04:31Z,2025-08-18T13:25:45Z,43,TypeScript,1821,1831,1565,70184
ventoy/Ventoy,2020-03-10T15:19:19Z,2025-08-18T03:59:10Z,104,C,280,1668,859,69912
grafana/grafana,2013-12-11T15:59:56Z,2025-08-18T14:13:06Z,550,TypeScript,56617,37433,3470,69499
hakimel/reveal.js,2011-06-07T18:54:22Z,2025-08-05T08:24:50Z,49,JavaScript,409,1690,771,69423
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,2025-08-13T18:34:54Z,0,Python,872,93,0,69351
swisskyrepo/PayloadsAllTheThings,2016-10-18T07:29:07Z,2025-08-14T09:11:08Z,5,Python,548,0,0,69273
binary-husky/gpt_academic,2023-03-20T09:05:13Z,2025-07-31T14:22:25Z,32,Python,223,1478,263,69128
strapi/strapi,2015-09-30T15:34:48Z,2025-08-18T14:06:38Z,477,TypeScript,9118,10177,990,69113
swiftlang/swift,2015-10-23T21:15:07Z,2025-08-18T14:15:02Z,60,C++,55399,9418,7347,68969
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,2025-08-15T21:00:54Z,34,C++,1411,2303,422,68888
protocolbuffers/protobuf,2014-08-26T15:52:15Z,2025-08-18T12:11:37Z,195,C++,7770,6406,233,68826
base/node,2023-02-01T13:55:02Z,2025-08-14T13:15:56Z,54,Go,186,190,49,68445
python/cpython,2017-02-10T19:23:51Z,2025-08-18T13:55:44Z,0,Python,52745,66083,7231,68416
sherlock-project/sherlock,2018-12-24T14:30:48Z,2025-05-06T09:55:10Z,1,Python,642,970,104,68057
browser-use/browser-use,2024-10-31T16:00:56Z,2025-08-18T02:01:25Z,72,Python,958,549,501,67874
ocornut/imgui,2014-07-21T14:29:47Z,2025-08-13T15:38:27Z,114,C++,405,5519,1012,67625
apache/superset,2015-07-21T18:55:34Z,2025-08-18T08:50:25Z,231,TypeScript,14803,11148,470,67620
expressjs/express,2009-06-26T18:56:01Z,2025-08-13T01:53:39Z,160,JavaScript,458,3885,105,67528
openai/openai-cookbook,2022-03-11T02:08:53Z,2025-08-15T23:49:03Z,0,Jupyter Notebook,858,556,40,67225
Alvin9999/new-pac,2016-03-23T08:43:36Z,2025-08-18T14:18:43Z,0,Python,0,1332,434,67106
PKUFlyingPig/cs-self-learning,2021-10-20T13:43:42Z,2025-07-28T15:10:30Z,5,HTML,296,104,107,66495
chartjs/Chart.js,2013-03-17T23:56:36Z,2025-08-18T04:22:01Z,116,JavaScript,3002,6804,461,66383
obsproject/obs-studio,2013-10-01T02:40:31Z,2025-08-12T00:45:43Z,223,C,5197,3926,673,66254
caddyserver/caddy,2015-01-13T19:45:03Z,2025-08-14T14:38:43Z,128,Go,2116,4142,179,66197
localsend/localsend,2022-12-16T00:46:07Z,2025-08-14T20:26:06Z,24,Dart,667,644,783,66116
ansible/ansible,2012-03-06T14:58:02Z,2025-08-15T22:37:41Z,161,Python,39178,32466,552,65954
Eugeny/tabby,2016-12-23T09:06:10Z,2025-08-17T20:47:39Z,200,TypeScript,1489,3412,2294,65566
leonardomso/33-js-concepts,2018-09-04T13:27:04Z,2025-08-18T10:06:29Z,0,JavaScript,252,81,22,65527
webpack/webpack,2012-03-10T10:08:14Z,2025-08-18T12:55:13Z,438,JavaScript,5104,9970,120,65489
nektos/act,2019-01-02T19:53:43Z,2025-08-12T19:13:15Z,88,Go,1045,1061,220,65173
astral-sh/uv,2023-10-02T20:24:11Z,2025-08-18T14:14:12Z,207,Rust,7152,5413,1907,65117
danielmiessler/SecLists,2012-02-19T01:30:18Z,2025-08-18T14:04:20Z,28,PHP,681,290,6,65000
xtekky/gpt4free,2023-03-29T17:00:43Z,2025-08-17T13:32:51Z,329,Python,812,1851,8,64967
AppFlowy-IO/AppFlowy,2021-06-16T12:56:48Z,2025-08-13T12:16:13Z,111,Dart,3882,2641,970,64962
modelcontextprotocol/servers,2024-11-19T01:10:17Z,2025-08-17T22:32:35Z,19,TypeScript,865,452,177,64737
lobehub/lobe-chat,2023-05-21T07:19:12Z,2025-08-18T13:15:48Z,1000,TypeScript,2492,3434,874,64584
rasbt/LLMs-from-scratch,2023-07-23T18:15:57Z,2025-08-17T13:23:07Z,0,Jupyter Notebook,384,165,5,64495
Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,2025-08-18T12:19:32Z,135,Java,2197,1077,312,64408
apache/echarts,2013-04-03T03:18:59Z,2025-08-18T06:08:23Z,122,TypeScript,1446,17218,1858,64387
kdn251/interviews,2017-02-14T18:19:25Z,2025-05-12T12:56:04Z,0,Java,42,24,32,64357
zed-industries/zed,2021-02-20T03:01:06Z,2025-08-18T14:15:14Z,960,Rust,16195,11395,2632,63944
kelseyhightower/nocode,2018-02-06T23:54:00Z,2024-08-07T03:19:12Z,1,Dockerfile,1,716,4146,63764
jesseduffield/lazygit,2018-05-19T00:53:06Z,2025-08-18T07:27:42Z,169,Go,1686,1591,698,63725
twitter/the-algorithm,2023-03-27T14:57:57Z,2024-07-10T07:07:01Z,0,Scala,2,729,280,63498
keras-team/keras,2015-03-28T00:35:42Z,2025-08-17T00:55:37Z,80,Python,4228,12293,232,63344
juliangarnier/anime,2016-03-13T21:37:45Z,2025-08-13T09:42:37Z,22,JavaScript,79,718,75,63243
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,2025-08-18T13:48:06Z,47,Python,13448,10066,1580,63055
TheAlgorithms/Java,2016-07-16T10:21:02Z,2025-08-15T21:18:56Z,0,Java,2015,1100,6,62727
resume/resume.github.com,2011-02-06T13:39:55Z,2023-02-15T06:38:51Z,0,JavaScript,84,66,56,62597
labmlai/annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,2025-08-12T06:41:39Z,0,Python,101,113,24,62585
infiniflow/ragflow,2023-12-12T06:13:13Z,2025-08-18T13:17:29Z,29,TypeScript,3689,2282,2632,62558
chrislgarry/Apollo-11,2014-04-03T15:45:02Z,2025-08-07T19:45:50Z,0,Assembly,343,326,56,62471
socketio/socket.io,2010-03-11T18:24:48Z,2025-08-16T07:10:41Z,75,TypeScript,435,3422,194,62307
All-Hands-AI/OpenHands,2024-03-13T03:33:31Z,2025-08-18T14:21:03Z,75,Python,5076,2933,318,62251
FuelLabs/sway,2021-01-19T20:54:33Z,2025-08-15T20:29:15Z,178,Rust,3495,2448,849,62147
facebook/docusaurus,2017-06-20T16:13:53Z,2025-08-15T11:43:52Z,151,TypeScript,5482,3025,294,61336
reduxjs/redux,2015-05-29T23:53:15Z,2025-07-24T14:32:21Z,78,TypeScript,1720,2025,38,61306
lodash/lodash,2012-04-07T04:11:46Z,2024-12-12T22:27:04Z,2,JavaScript,581,4228,84,60850
dair-ai/Prompt-Engineering-Guide,2022-12-16T16:04:50Z,2025-08-13T20:22:11Z,0,MDX,338,71,151,60833
atom/atom,2012-01-20T18:18:21Z,2023-01-03T10:49:48Z,538,JavaScript,3933,16148,962,60569
h5bp/Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,2025-08-12T14:41:23Z,0,Nunjucks,484,143,34,60502
openinterpreter/open-interpreter,2023-07-14T07:10:44Z,2025-08-06T17:38:07Z,48,Python,369,797,228,60302
localstack/localstack,2016-10-25T23:48:03Z,2025-08-18T12:34:25Z,94,Python,6211,5755,237,60136
adam-p/markdown-here,2012-05-13T03:27:22Z,2025-07-10T01:19:23Z,17,JavaScript,27,324,305,59997
alacritty/alacritty,2016-02-18T05:02:30Z,2025-08-17T12:13:34Z,101,Rust,1887,5800,323,59979
